model,activation,optimizer,seq_len,grad_clipping,accuracy,f1,epoch_time_sec,epochs,batch_size,lr,dropout,seed,device
rnn,tanh,adam,25,True,0.61196,0.6081129045781011,2.609132099151611,5,32,0.001,0.5,42,cuda
rnn,tanh,adam,50,False,0.60156,0.5969384452664446,2.274642086029053,5,32,0.001,0.5,42,cuda
rnn,tanh,adam,50,True,0.53068,0.5296761219016317,2.646027851104736,5,32,0.001,0.5,42,cuda
rnn,tanh,adam,100,False,0.61128,0.5970753685358143,2.399861240386963,5,32,0.001,0.5,42,cuda
rnn,tanh,adam,100,True,0.50764,0.4700649337801769,2.6514095783233644,5,32,0.001,0.5,42,cuda
rnn,tanh,sgd,25,False,0.52124,0.520795972615131,2.0589512825012206,5,32,0.001,0.5,42,cuda
rnn,tanh,sgd,25,True,0.50692,0.4800719459966408,2.3047664165496826,5,32,0.001,0.5,42,cuda
rnn,tanh,sgd,50,False,0.50784,0.4991232996839937,2.0551193714141847,5,32,0.001,0.5,42,cuda
rnn,tanh,sgd,50,True,0.50608,0.4871752275898731,2.311188077926636,5,32,0.001,0.5,42,cuda
rnn,tanh,sgd,100,False,0.51612,0.5122635820787237,2.1783893585205076,5,32,0.001,0.5,42,cuda
rnn,tanh,sgd,100,True,0.5146,0.5115391550720472,2.452381134033203,5,32,0.001,0.5,42,cuda
rnn,tanh,rmsprop,25,False,0.4942,0.4802270040921315,2.262315034866333,5,32,0.001,0.5,42,cuda
rnn,tanh,rmsprop,25,True,0.50008,0.4588320920020569,2.5539822578430176,5,32,0.001,0.5,42,cuda
rnn,tanh,rmsprop,50,False,0.5044,0.5043917499068256,2.2754330158233644,5,32,0.001,0.5,42,cuda
rnn,tanh,rmsprop,50,True,0.50116,0.3347735509958115,2.5389148712158205,5,32,0.001,0.5,42,cuda
rnn,tanh,rmsprop,100,False,0.4986,0.33622007436771056,2.3663615703582765,5,32,0.001,0.5,42,cuda
rnn,tanh,rmsprop,100,True,0.49932,0.3350081416530561,2.7021512508392336,5,32,0.001,0.5,42,cuda
rnn,sigmoid,adam,25,False,0.52112,0.50857729162362,2.3696590423583985,5,32,0.001,0.5,42,cuda
rnn,sigmoid,adam,25,True,0.63184,0.6268814490768677,2.635524129867554,5,32,0.001,0.5,42,cuda
rnn,sigmoid,adam,50,False,0.57484,0.5669951824394853,2.3479730606079103,5,32,0.001,0.5,42,cuda
rnn,sigmoid,adam,50,True,0.60496,0.6037735878124775,2.6427844047546385,5,32,0.001,0.5,42,cuda
rnn,sigmoid,adam,100,False,0.53864,0.5017562474548272,2.4086713790893555,5,32,0.001,0.5,42,cuda
rnn,sigmoid,adam,100,True,0.59312,0.5717871915369118,2.696497583389282,5,32,0.001,0.5,42,cuda
rnn,sigmoid,sgd,25,False,0.49696,0.4212141195831717,2.0466379642486574,5,32,0.001,0.5,42,cuda
rnn,sigmoid,sgd,25,True,0.49896,0.33287079041468753,2.3062530040740965,5,32,0.001,0.5,42,cuda
rnn,sigmoid,sgd,50,False,0.50104,0.3337952353035229,2.086780071258545,5,32,0.001,0.5,42,cuda
rnn,sigmoid,sgd,50,True,0.50104,0.3337952353035229,2.3321797847747803,5,32,0.001,0.5,42,cuda
rnn,sigmoid,sgd,100,False,0.50104,0.3337952353035229,2.170176649093628,5,32,0.001,0.5,42,cuda
rnn,sigmoid,sgd,100,True,0.50156,0.500555804715189,2.4451592445373533,5,32,0.001,0.5,42,cuda
rnn,sigmoid,rmsprop,25,False,0.5012,0.33479139945943115,2.292128896713257,5,32,0.001,0.5,42,cuda
rnn,sigmoid,rmsprop,25,True,0.50104,0.3337952353035229,2.5524800300598143,5,32,0.001,0.5,42,cuda
rnn,sigmoid,rmsprop,50,False,0.49904,0.3330481991900909,2.290984535217285,5,32,0.001,0.5,42,cuda
rnn,sigmoid,rmsprop,50,True,0.49896,0.33287079041468753,2.561290073394775,5,32,0.001,0.5,42,cuda
rnn,sigmoid,rmsprop,100,False,0.50104,0.3337952353035229,2.4105135917663576,5,32,0.001,0.5,42,cuda
rnn,sigmoid,rmsprop,100,True,0.49792,0.3908306336078126,2.643010139465332,5,32,0.001,0.5,42,cuda
lstm,relu,adam,25,False,0.718,0.7177837708922633,2.6642250537872316,5,32,0.001,0.5,42,cuda
lstm,relu,adam,25,True,0.71564,0.7150359669825511,3.055442523956299,5,32,0.001,0.5,42,cuda
lstm,relu,adam,50,False,0.75592,0.7539552813506116,2.604552412033081,5,32,0.001,0.5,42,cuda
lstm,relu,adam,50,True,0.74964,0.7494138706759601,2.8773865699768066,5,32,0.001,0.5,42,cuda
lstm,relu,adam,100,False,0.75308,0.7449968484948277,2.7298716068267823,5,32,0.001,0.5,42,cuda
lstm,relu,adam,100,True,0.7634,0.7591341976565313,3.1237133979797362,5,32,0.001,0.5,42,cuda
lstm,relu,sgd,25,False,0.50104,0.47750372824588405,2.3879589080810546,5,32,0.001,0.5,42,cuda
lstm,relu,sgd,25,True,0.5166,0.5140781816062981,2.673487329483032,5,32,0.001,0.5,42,cuda
lstm,relu,sgd,50,False,0.50168,0.49757409511715256,2.394727087020874,5,32,0.001,0.5,42,cuda
lstm,relu,sgd,50,True,0.50592,0.42711910128581776,2.649263048171997,5,32,0.001,0.5,42,cuda
lstm,relu,sgd,100,False,0.50212,0.40396948565109325,2.5056249618530275,5,32,0.001,0.5,42,cuda
lstm,relu,sgd,100,True,0.50764,0.497267394862218,2.7817357063293455,5,32,0.001,0.5,42,cuda
lstm,relu,rmsprop,25,False,0.65432,0.6515973868755824,2.67798433303833,5,32,0.001,0.5,42,cuda
lstm,relu,rmsprop,25,True,0.50104,0.3337952353035229,2.894973707199097,5,32,0.001,0.5,42,cuda
lstm,relu,rmsprop,50,False,0.49908,0.33968240903666186,2.5947662353515626,5,32,0.001,0.5,42,cuda
lstm,relu,rmsprop,50,True,0.50104,0.3337952353035229,2.8676403522491456,5,32,0.001,0.5,42,cuda
lstm,relu,rmsprop,100,False,0.49896,0.33287079041468753,2.7245564460754395,5,32,0.001,0.5,42,cuda
lstm,relu,rmsprop,100,True,0.50104,0.3337952353035229,3.0353116512298586,5,32,0.001,0.5,42,cuda
lstm,tanh,adam,25,False,0.71312,0.713118235562396,2.6621256828308106,5,32,0.001,0.5,42,cuda
